customer_tweet_id,brand_tweet_id,brand_reply,customer_message
1615800,1615803,"@495535 Thanks! Just to confirm, did you watch the video ad that grants you 30 minutes ad-free listening in full after hearing the offer? /MC",@SpotifyCares Also why does my girlfriends account go three or more songs between ads and mine usually one after being a long time premium account
2121315,2121314,@625000 Thanks for clearing that up. Could you send us a DM with your account's email address? We'll take a look backstage /QI https://t.co/ldFdZRiNAt,@SpotifyCares Just the albums my playlists are ok.
1683029,1683031,@511586 Got it. Can you check if updating the app makes a difference? /DV,@SpotifyCares Version 8.2.0.549 and os 11 ( although was like this when I had ios 9)
2692981,2692979,"@756950 Hey Mitchell, glad to hear we could surprise you this year! Be sure to check out that tracks Song Radio for more tunes just like it 🎁 /TB","@SpotifyCares I was surprised to see one of my fav Christmas tracks by @103595 wasn't on the ""Christmas in Canada"" 🇨🇦 playlist @3493. I enjoy hearing it every year! https://t.co/43dMzEE5ev"
1456546,1456545,@458065 Hi Marc! We've sent a reply to your DM. Let's carry on chatting there /LP,@SpotifyCares I lost my premium account subscription with FIDO. What's going on? Music is my life!
2663996,2663995,"@750669 Hey there! Don't worry, help's here. Can you let us know the device you're using along with its Android and Spotify versions? We'll be on the lookout for your reply /MT","So saving an entire album to a playlist on Android no longer automatically names the playlist ""Artist - Album Name""? This is a step backwards @115888 @SpotifyCares!"
1788653,1788652,@537301 Hey Lizzy! You can purchase E-cards for Spotify Premium here: https://t.co/42zVxzQuAV. Let us know if you have any questions /TF,@SpotifyCares Gift**
1372118,1372117,@235785 You're welcome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /AP,@SpotifyCares thank you!
1578595,1578594,"@486158 Hey! Don't worry, we're on it. Our developers are looking into this, and we'll keep everyone updated /DF",@SpotifyCares y'all need to update for iPhone X! All the major apps had day 1 updates ready
1448180,1448178,"@456065 Hey Lucas! Does logging out of Spotify, restarting your device and logging back in help at all? Keep us posted /TF","@SpotifyCares ...and I get the ""No results found for '[insert search term]'"" message. I've had lots of bugs, but this is new."
1904128,1904127,"@567449 Hey Mikkel, sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help /AY",@SpotifyCares I am so sick that I am forced to re-download my playlists non-top. I went from  #groovemusic with no problems to this. :/
1702124,1702123,"@516077 We hear you! We’d love to see your vote, and hear your feedback on this idea: https://t.co/8OOl8B2i69 🙂 /VK",@SpotifyCares any word of when you'll up the limit of songs that we can save? i cleared it up last year and i ran into this issue again https://t.co/7zmzUNcWuf
2552706,2552703,"@723973 @725075 @6860 @115888 Hey! Fingers crossed we'll be able to have it to you soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /KM",@725075 @6860 @115888 Yeah @115888 I tried to listen to take care today hyfr couldn't find it what gives eh? Thank u!
1960908,1960905,"@398465 Hi! Right now, you can only download up to 3,333 songs per device for offline listening, on up to 3 devices. We'll pass on your feedback /DD","Hey @115888 why is there a limit to how large my library can be, even if I'm a premium user?"
1812580,1812579,"@544540 Hi there, that's not cool! Could you DM us your account's username or password? We'll check backstage /RE https://t.co/ldFdZRiNAt","@SpotifyCares ,, you said you sent a password reset to my email, but yet I never got the email"
2027299,2027298,"@599508 @115888 Hey there! Could you let us know your device's make/model, operating system, and Spotify version? We'll see what we can suggest /GU",@115888 why isn’t my Spotify radio nor any searches working and I’m a premium member? Keeps saying an “error occurred.” Restarted my phone
2662920,2662919,@750472 Hey Dyna! We've just sent you a DM. Let's continue chatting there /NS,"@SpotifyCares hi, I sent a message to you. Please kindly help, thanks! 🙂"
2312076,2312075,"@670515 Hi Dita, help's here! Can you DM us your account's email address or username? We'll take a look backstage /GT https://t.co/ldFdZRiNAt","@SpotifyCares i have paid for premium account, but my spotify still labeled as free account. please helpp"
860232,860234,"@324251 Nice! We're glad it's working now. Let us know if you need anything else, we'll be right here /RV",@SpotifyCares It’s ok i found a work around when I didn’t hear back within a few hours.  Thanks anyway
1094849,1094848,@378348 @115888 We've just sent you a DM 🙂 /PX,"@115888 @SpotifyCares am having issues joining a family plan, would you help?"
1827051,1827053,"@548374 OK. Just in case, that link can explain what could've happened and which steps to take next to prevent this from happening in the future /GK",@SpotifyCares Yes that's not cool. Can't agree more. Nope. Everything is fine on my side. Downloading everything again so... Grrrr
1098719,1098718,"@379266 Hi there. We're sorry you feel that way. We appreciate your feedback on this, and we'll be sure to pass it on to the right team /LM","Hey @SpotifyCares, @3072 and @5795. That last tweet is for you too https://t.co/SbaXzWA9bZ"
