tweet_id,text,gold_intent
1162327,@SpotifyCares is the iOS app going to be updated to accommodate iPhone X anytime soon?,app_device_issue
1844384,@115888 Any ideas?,general_support
926727,@127637 c'est très urgent svp,general_support
2468384,@SpotifyCares Mmm.. i play 2 or 3 songs. Then it begins to jump one after another until it stops. And it does not allow me to do anything. So i clouse and run again the program. But it's the same. Sorry my english it's so bad :/,content_availability
32071,@116130 I’m being charged for premium but my account is saying I’m not premium and won’t give me premium features?,account_subscription
1603847,@SpotifyCares So far so good,general_support
602849,@115888 where’s my “your top songs 2017” playlist???? Last year you released it on December 2,content_availability
2317230,"@SpotifyCares when I originally signed up to Spotify premium, I was supposed to receive one month free. Please advise. User: xericdx",account_subscription
704763,@SpotifyCares I just found about the spotify discount for students and validated my account to be charged properly. Can I get back credited for the last months that I could have applied the student discount?,account_subscription
568960,"@SpotifyCares Why is my account suddenly paused  just a few days after i redeemed 3 months gift card? I can even see in my account details i redeemed that card, very convenient if you want to play music for your guests",account_subscription
1218592,"@SpotifyCares iPhone 8, iOS 11, and free Spotify. Not a single song in my playlist plays. It’s all recommended songs.",app_device_issue
1533104,"@SpotifyCares I found an album on the web player (that won't play), but I can't find that album on the app. Help?",playback_issue
1447353,"Why isn't the actual Empire State of Mind on @115888? 
@26894",general_support
621397,@SpotifyCares Im a artist and I have songs on my page that do not belong. I've already emailed and was told it would be fixed. It is not. 😂,content_availability
1158248,@SpotifyCares I’m getting charged for Premium on my credit card AND as a 3rd party charge via my mobile carrier. Help! 😩,account_subscription
1965272,@SpotifyCares Not at all. It's globe,general_support
1111327,@115888 @SpotifyCares @116130  can you fix the shuffle feature? i hear the same songs repeatedly when i have 1k+ songs in my playlist,playback_issue
1199653,@SpotifyCares I wasn't complaining about ads!! open your eyes! Spotify Cares? no not at all,ads_promotions
2769148,@SpotifyCares hay i recently upgrade my spotify to premium but its not upgraded at all in my app.,account_subscription
2029711,"@SpotifyCares hey Spotify my Discover Weekly hasn't updated since September 18th, any way to fix this?",app_device_issue
2349705,"@SpotifyCares I just tried and I’m having this same issue with chrome, after I enter my card it just spins after clicking continue button. I tried inputting another card maybe thinking it was my card but I’m having the same issue still.",general_support
1565387,@137949 @117153 is there a problem with connection between Sonos and Spotify? Getting cannot connect to Spotify message.,general_support
500971,@117153 Been sent premium family code but when I try to redeem says invalid,account_subscription
856217,hey @115888 why does your web player continue to be garbage,general_support
2307196,@115888 @SpotifyCares you charged me and didnt give me the hulu + spotify promotion!!!,account_subscription
